candidate_id,race_id,district_id,year,state,district,candidate_name,party,candidate_votes,total_votes,FEC_candidate_id,CAND_ICI,TTL_DISB
2020_H4AL06098,AL_6_2020,AL_6,2020,ALABAMA,6,GARY J PALMER,Republican,274160,282261,H4AL06098,I,921541.75
2010_H0AL07177,AL_7_2010,AL_7,2010,ALABAMA,7,DON CHAMBERLAIN,Republican,51890,188724,H0AL07177,O,42691.0
2010_H0AL07086,AL_7_2010,AL_7,2010,ALABAMA,7,TERRI A SEWELL,Democrat,136696,188724,H0AL07086,O,1766658.3
2012_H0AL07086,AL_7_2012,AL_7,2012,ALABAMA,7,TERRI A SEWELL,Democrat,232520,306558,H0AL07086,I,863803.98
2012_H0AL07177,AL_7_2012,AL_7,2012,ALABAMA,7,DON CHAMBERLAIN,Republican,73835,306558,H0AL07177,C,22263.32
2014_H0AL07086,AL_7_2014,AL_7,2014,ALABAMA,7,TERRI A SEWELL,Democrat,133687,135899,H0AL07086,I,1468012.7
2016_H0AL07086,AL_7_2016,AL_7,2016,ALABAMA,7,TERRI A SEWELL,Democrat,229330,233028,H0AL07086,I,1087017.93
2018_H0AL07086,AL_7_2018,AL_7,2018,ALABAMA,7,TERRI SEWELL,Democrat,185010,189163,H0AL07086,I,1178352.28
2020_H0AL07086,AL_7_2020,AL_7,2020,ALABAMA,7,TERRI A SEWELL,Democrat,225742,232331,H0AL07086,I,1498831.85
GEN_000001,AR_1_2010,AR_1,2010,ARKANSAS,1,KEN ADLER,Other,8320,180016,,,
2010_H0AR01083,AR_1_2010,AR_1,2010,ARKANSAS,1,RICK CRAWFORD,Republican,93224,180016,H0AR01083,O,1249966.21
2010_H0AR01109,AR_1_2010,AR_1,2010,ARKANSAS,1,CHAD CAUSEY,Democrat,78267,180016,H0AR01109,O,1613863.42
2012_H0AR01083,AR_1_2012,AR_1,2012,ARKANSAS,1,"ERIC A ""RICK"" CRAWFORD",Republican,138800,246843,H0AR01083,I,1274636.11
GEN_000374,AR_1_2012,AR_1,2012,ARKANSAS,1,JACOB HOLLOWAY,Other,5015,246843,,,
GEN_000375,AR_1_2012,AR_1,2012,ARKANSAS,1,JESSICA PAXTON,Other,6427,246843,,,
2012_H2AR01071,AR_1_2012,AR_1,2012,ARKANSAS,1,SCOTT ELLINGTON,Democrat,96601,246843,H2AR01071,C,370676.52
GEN_000719,AR_1_2014,AR_1,2014,ARKANSAS,1,BRIAN SCOTT WILLHITE,Other,8562,196256,,,
2014_H4AR01051,AR_1_2014,AR_1,2014,ARKANSAS,1,JACKIE MCPHERSON,Democrat,63555,196256,H4AR01051,C,279780.51
2014_H0AR01083,AR_1_2014,AR_1,2014,ARKANSAS,1,"ERIC A ""RICK"" CRAWFORD",Republican,124139,196256,H0AR01083,I,665075.08
2016_H0AR01083,AR_1_2016,AR_1,2016,ARKANSAS,1,"ERIC A ""RICK"" CRAWFORD",Republican,183866,241047,H0AR01083,I,808955.49
GEN_001020,AR_1_2016,AR_1,2016,ARKANSAS,1,MARK WEST,Other,57181,241047,,,
2018_H8AR01029,AR_1_2018,AR_1,2018,ARKANSAS,1,CHINTAN DESAI,Democrat,57907,201245,H8AR01029,C,137153.22
GEN_001376,AR_1_2018,AR_1,2018,ARKANSAS,1,ELVIS PRESLEY,Other,4581,201245,,,
2018_H0AR01083,AR_1_2018,AR_1,2018,ARKANSAS,1,RICK CRAWFORD,Republican,138757,201245,H0AR01083,I,966616.64
2020_H0AR01083,AR_1_2020,AR_1,2020,ARKANSAS,1,"ERIC A ""RICK"" CRAWFORD",Republican,237596,237596,H0AR01083,I,1095517.53
2010_H0AR02164,AR_2_2010,AR_2,2010,ARKANSAS,2,LEWIS KENNEDY,Other,3599,210852,H0AR02164,O,26796.32
2010_H0AR02131,AR_2_2010,AR_2,2010,ARKANSAS,2,JOYCE ELLIOTT,Democrat,80687,210852,H0AR02131,O,1019386.27
2010_H0AR02107,AR_2_2010,AR_2,2010,ARKANSAS,2,TIM GRIFFIN,Republican,122091,210852,H0AR02107,O,1774143.0
GEN_000002,AR_2_2010,AR_2,2010,ARKANSAS,2,LANCE LEVI,Other,4421,210852,,,
GEN_000377,AR_2_2012,AR_2,2012,ARKANSAS,2,CHRIS HAYES,Other,6701,286598,,,
GEN_000376,AR_2_2012,AR_2,2012,ARKANSAS,2,BARBARA WARD,Other,8566,286598,,,
2012_H2AR02053,AR_2_2012,AR_2,2012,ARKANSAS,2,HERB RULE,Democrat,113156,286598,H2AR02053,C,238531.58
2012_H0AR02107,AR_2_2012,AR_2,2012,ARKANSAS,2,TIM GRIFFIN,Republican,158175,286598,H0AR02107,I,1659463.02
2014_H4AR02141,AR_2_2014,AR_2,2014,ARKANSAS,2,FRENCH HILL,Republican,123073,237330,H4AR02141,O,2149743.85
2014_H4AR02133,AR_2_2014,AR_2,2014,ARKANSAS,2,PATRICK HENRY HAYS,Democrat,103477,237330,H4AR02133,O,1563841.26
GEN_000720,AR_2_2014,AR_2,2014,ARKANSAS,2,DEBBIE STANDIFORD,Other,10590,237330,,,
2016_H4AR02141,AR_2_2016,AR_2,2016,ARKANSAS,2,J FRENCH HILL,Republican,176472,302464,H4AR02141,I,1640764.53
GEN_001021,AR_2_2016,AR_2,2016,ARKANSAS,2,CHRIS HAYES,Other,14342,302464,,,
2016_H6AR02245,AR_2_2016,AR_2,2016,ARKANSAS,2,DIANNE CURRY,Democrat,111347,302464,H6AR02245,C,28822.83
GEN_001377,AR_2_2018,AR_2,2018,ARKANSAS,2,JOE RYNE SWAFFORD,Other,5193,253453,,,
