race_id,district_id,year,total_votes,winner_name,winner_party,winner_CAND_ICI,runner_up_name,runner_up_party,runner_up_CAND_ICI,margin_of_victory,spending_winner,spending_runner_up,pvi,NHE
AR_4_2012,AR_4,2012,258953,TOM COTTON,Republican,O,GENE JEFFRESS,Democrat,O,22.84,2094866.54,98039.53,9.0,-1.1
AR_4_2014,AR_4,2014,206131,BRUCE WESTERMAN,Republican,O,JAMES LEE WITT,Democrat,O,11.18,955239.74,1189666.78,15.0,5.7
AR_4_2016,AR_4,2016,244159,BRUCE WESTERMAN,Republican,I,KERRY HICKS,Other,,49.81,464458.86,,15.0,1.1
AR_4_2018,AR_4,2018,204892,BRUCE WESTERMAN,Republican,I,HAYDEN CATHERINE SHAMEL,Democrat,C,35.51,1297141.11,155049.94,17.0,-8.6
AR_4_2020,AR_4,2020,275035,BRUCE WESTERMAN,Republican,I,WILLIAM H HANSON,Democrat,C,42.13,1123311.93,111682.66,17.0,-3.1
AZ_1_2010,AZ_1,2010,226918,PAUL GOSAR,Republican,,ANN KIRKPATRICK,Democrat,I,5.99,,1998802.09,6.0,6.8
AZ_1_2012,AZ_1,2012,251595,ANN KIRKPATRICK,Democrat,I,JONATHAN PATON,Republican,C,3.65,2369726.45,1489294.36,3.0,-1.1
AZ_1_2014,AZ_1,2014,185114,ANN KIRKPATRICK,Democrat,I,ANDY TOBIN,Republican,C,5.22,3340584.56,1377528.21,4.0,5.7
AZ_1_2016,AZ_1,2016,280710,TOM O'HALLERAN,Democrat,O,PAUL BABEU,Republican,O,7.29,1588705.07,1293719.68,4.0,1.1
AZ_1_2018,AZ_1,2018,266089,TOM O'HALLERAN,Democrat,I,WENDY ROGERS,Republican,C,7.69,2760247.97,1427124.4,2.0,-8.6
AZ_1_2020,AZ_1,2020,365178,TOM O'HALLERAN,Democrat,I,TIFFANY SHEDD,Republican,C,3.22,3359686.85,1655234.73,2.0,-3.1
AZ_2_2010,AZ_2,2010,266894,TRENT FRANKS,Republican,I,JOHN THRASHER,Democrat,C,33.83,1029036.85,22020.76,13.0,6.8
AZ_2_2012,AZ_2,2012,292279,RON BARBER,Democrat,I,MARTHA MCSALLY,Republican,C,0.84,2690570.19,1442044.71,2.0,-1.1
AZ_2_2014,AZ_2,2014,219351,MARTHA MCSALLY,Republican,C,RON BARBER,Democrat,I,0.07,4503580.94,3610617.45,3.0,5.7
AZ_2_2016,AZ_2,2016,315679,MARTHA MCSALLY,Republican,I,MATT HEINZ,Democrat,C,13.92,8004418.35,1585089.25,3.0,1.1
AZ_2_2018,AZ_2,2018,294152,ANN KIRKPATRICK,Democrat,O,LEA MARQUEZ PETERSON,Republican,O,9.49,4519793.32,1457230.95,1.0,-8.6
AZ_2_2020,AZ_2,2020,381054,ANN KIRKPATRICK,Democrat,I,BRANDON MARTIN,Republican,C,10.23,1433662.33,387527.04,1.0,-3.1
AZ_3_2010,AZ_3,2010,208071,BEN QUAYLE,Republican,O,JON HULBURD,Democrat,O,11.09,2645463.16,1647489.95,9.0,6.8
AZ_3_2012,AZ_3,2012,168698,RAUL M GRIJALVA,Democrat,I,GABRIELA SAUCEDO MERCER,Republican,C,21.22,930949.81,230285.18,-7.0,-1.1
AZ_3_2014,AZ_3,2014,104428,RAUL M GRIJALVA,Democrat,I,GABBY SAUCEDO,Republican,,11.5,561116.42,,-8.0,5.7
AZ_3_2018,AZ_3,2018,179518,RAUL GRIJALVA,Democrat,I,"NICOLAS ""NICK"" PIERSON",Republican,C,27.73,733300.37,71640.5,-13.0,-8.6
AZ_3_2020,AZ_3,2020,269837,RAUL M GRIJALVA,Democrat,I,DANIEL WOOD,Republican,C,29.15,691287.6,42480.94,-13.0,-3.1
AZ_4_2010,AZ_4,2010,91907,ED PASTOR,Democrat,I,JANET CONTRERAS,Republican,C,39.41,1092555.25,82858.12,-13.0,6.8
AZ_4_2012,AZ_4,2012,243760,PAUL A GOSAR,Republican,I,JOHNNIE ROBINSON,Democrat,,38.46,1126649.26,,16.0,-1.1
AZ_4_2014,AZ_4,2014,175179,PAUL A GOSAR,Republican,I,MIKE WEISSER,Democrat,C,44.17,401796.79,38071.77,20.0,5.7
AZ_4_2016,AZ_4,2016,284783,PAUL A GOSAR,Republican,I,MIKEL WEISSER,Democrat,C,42.91,712872.46,35258.96,20.0,1.1
AZ_4_2018,AZ_4,2018,277035,PAUL GOSAR,Republican,I,DAVID BRILL,Democrat,C,37.66,575157.87,598541.66,21.0,-8.6
AZ_4_2020,AZ_4,2020,398623,PAUL A GOSAR,Republican,I,DELINA DISANTO,Democrat,C,39.52,759239.4,79757.81,21.0,-3.1
AZ_5_2010,AZ_5,2010,212250,DAVID SCHWEIKERT,Republican,C,HARRY E MITCHELL,Democrat,I,8.78,1721363.62,2308400.3,5.0,6.8
AZ_5_2012,AZ_5,2012,273059,MATT SALMON,Republican,O,SPENCER MORGAN,Democrat,,34.38,1196743.99,,16.0,-1.1
AZ_5_2014,AZ_5,2014,179463,MATT SALMON,Republican,I,JAMES WOODS,Democrat,C,39.16,578157.16,56749.88,17.0,5.7
AZ_5_2016,AZ_5,2016,320124,ANDY BIGGS,Republican,O,TALIA FUENTES,Democrat,O,28.19,947069.35,18649.88,17.0,1.1
AZ_5_2018,AZ_5,2018,313064,ANDY BIGGS,Republican,I,JOAN GREENE,Democrat,C,18.85,552967.73,199163.32,15.0,-8.6
AZ_5_2020,AZ_5,2020,445657,ANDY BIGGS,Republican,I,JOAN GREENE,Democrat,C,17.78,1338431.77,225188.62,15.0,-3.1
AZ_6_2010,AZ_6,2010,249383,JEFF FLAKE,Republican,I,REBECCA SCHNEIDER,Democrat,,37.31,774230.95,,15.0,6.8
AZ_6_2012,AZ_6,2012,293177,DAVID SCHWEIKERT,Republican,I,MATT JETTE,Democrat,C,27.98,1969383.28,25850.51,10.0,-1.1
AZ_6_2014,AZ_6,2014,199776,DAVID SCHWEIKERT,Republican,I,W JOHN WILLIAMSON,Democrat,C,29.72,1119893.85,10370.25,12.0,5.7
AZ_6_2016,AZ_6,2016,324444,DAVID SCHWEIKERT,Republican,I,W JOHN WILLIAMSON,Democrat,C,24.26,806820.62,6623.91,12.0,1.1
AZ_6_2018,AZ_6,2018,313699,DAVID SCHWEIKERT,Republican,I,ANITA MALIK,Democrat,C,10.39,1773912.37,391755.8,9.0,-8.6
AZ_6_2020,AZ_6,2020,417427,DAVID SCHWEIKERT,Republican,I,HIRAL TIPIRNENI,Democrat,C,4.35,2283320.82,6413897.02,9.0,-3.1
AZ_7_2010,AZ_7,2010,159144,RAUL M GRIJALVA,Democrat,I,RUTH MCCLUNG,Republican,C,6.0,1463648.18,684747.7,-6.0,6.8
AZ_7_2012,AZ_7,2012,127827,ED PASTOR,Democrat,I,JOE COBB,Other,,63.49,1103157.38,,-12.0,-1.1
AZ_7_2014,AZ_7,2014,72454,RUBEN GALLEGO,Democrat,O,JOE COBB,Other,O,60.07,911026.32,1288.23,-16.0,5.7
AZ_7_2016,AZ_7,2016,158811,RUBEN GALLEGO,Democrat,I,EVE NUNEZ,Republican,,50.49,734379.24,,-16.0,1.1
AZ_7_2018,AZ_7,2018,132051,RUBEN GALLEGO,Democrat,I,GARY SWING,Other,,71.44,953135.67,,-23.0,-8.6
AZ_7_2020,AZ_7,2020,215732,RUBEN GALLEGO,Democrat,I,JOSHUA BARNETT,Republican,C,53.41,1668669.29,17882.67,-23.0,-3.1
AZ_8_2010,AZ_8,2010,283578,GABRIELLE GIFFORDS,Democrat,I,JESSE KELLY,Republican,C,1.47,3888405.81,1653552.57,4.0,6.8
AZ_8_2012,AZ_8,2012,272791,TRENT FRANKS,Republican,I,GENE SCHARER,Democrat,C,28.29,399105.03,8848.0,13.0,-1.1
AZ_8_2014,AZ_8,2014,169776,TRENT FRANKS,Republican,I,STEPHEN DOLGOS,Other,,51.62,414180.65,,15.0,5.7
AZ_8_2016,AZ_8,2016,298971,TRENT FRANKS,Republican,I,MARK SALAZAR,Other,,37.12,360898.55,,15.0,1.1
AZ_8_2018,AZ_8,2018,304417,DEBBIE LESKO,Republican,I,HIRAL TIPIRNENI,Democrat,C,10.93,2032633.16,4479343.36,13.0,-8.6
AZ_8_2020,AZ_8,2020,422467,DEBBIE LESKO,Republican,I,MICHAEL MUSCATO,Democrat,C,19.13,996781.94,399329.13,13.0,-3.1
AZ_9_2012,AZ_9,2012,250131,KYRSTEN SINEMA,Democrat,I,VERNON B PARKER,Republican,C,4.1,2118460.84,1170856.83,1.0,-1.1
AZ_9_2014,AZ_9,2014,162062,KYRSTEN SINEMA,Democrat,I,WENDY ROGERS,Republican,C,12.81,3464333.4,1328058.64,1.0,5.7
AZ_9_2016,AZ_9,2016,277507,KYRSTEN SINEMA,Democrat,I,DAVE GILES,Republican,C,21.88,2441662.77,273722.04,1.0,1.1
AZ_9_2018,AZ_9,2018,261245,GREG STANTON,Democrat,O,STEPHEN L FERRARA,Republican,O,22.17,2465870.87,1565927.76,-4.0,-8.6
AZ_9_2020,AZ_9,2020,352274,GREG STANTON,Democrat,I,DAVE GILES,Republican,C,23.25,1019971.13,129934.54,-4.0,-3.1
CA_10_2010,CA_10,2010,233806,JOHN GARAMENDI,Democrat,I,GARY CLIFT,Republican,C,20.99,1714971.13,53249.0,-11.0,6.8
CA_10_2012,CA_10,2012,209199,JEFF DENHAM,Republican,I,JOSE HERNANDEZ,Democrat,C,5.42,2647697.84,1754480.64,5.0,-1.1
CA_10_2014,CA_10,2014,125705,JEFF DENHEM,Republican,I,MICHAEL EGGMAN,Democrat,C,12.3,1753320.93,1291436.26,1.0,5.7
CA_10_2016,CA_10,2016,241141,JEFF DENHAM,Republican,I,MICHAEL EGGMAN,Democrat,C,3.4,4183054.63,1586983.34,1.0,1.1
CA_10_2018,CA_10,2018,221900,JOSH HARDER,Democrat,C,JEFF DENHAM,Republican,I,4.5,8421288.43,4932044.09,0.0,-8.6
CA_10_2020,CA_10,2020,302494,JOSH HARDER,Democrat,I,TED HOWZE,Republican,C,10.33,4091139.47,1878228.79,0.0,-3.1
CA_11_2010,CA_11,2010,240503,JERRY MCNERNEY,Democrat,I,DAVID HARMER,Republican,C,1.11,3098636.5,2858560.6,1.0,6.8
CA_11_2012,CA_11,2012,287879,GEORGE MILLER,Democrat,I,VIRGINIA FULLER,Republican,,39.46,885945.61,,-17.0,-1.1
CA_11_2014,CA_11,2014,174662,MARK DESAULNIER,Democrat,O,TUE PHAN,Republican,O,34.55,541227.55,118994.01,-17.0,5.7
CA_11_2016,CA_11,2016,298209,MARK DESAULNIER,Democrat,I,ROGER ALLEN PETERSEN,Republican,C,44.11,425816.84,7789.5,-17.0,1.1
CA_11_2018,CA_11,2018,275681,MARK DESAULNIER,Democrat,I,JOHN FITZGERALD,Republican,,48.26,489011.76,,-21.0,-8.6
CA_11_2020,CA_11,2020,371356,MARK DESAULNIER,Democrat,I,NISHA SHARMA,Republican,C,45.99,442546.73,182994.64,-21.0,-3.1
CA_12_2010,CA_12,2010,201162,JACKIE SPEIER,Democrat,I,MIKE MOLONEY,Republican,,53.47,772791.25,,-23.0,6.8
CA_12_2012,CA_12,2012,298187,NANCY PELOSI,Democrat,I,JOHN DENNIS,Republican,C,70.17,2006447.66,480225.85,-35.0,-1.1
CA_12_2014,CA_12,2014,192264,NANCY PELOSI,Democrat,I,JOHN DENNIS,Republican,C,66.51,2395066.14,600046.35,-34.0,5.7
CA_12_2016,CA_12,2016,338845,NANCY PELOSI,Democrat,I,PRESTON PICUS,Other,C,61.75,3577235.57,19544.26,-34.0,1.1
CA_12_2018,CA_12,2018,317072,NANCY PELOSI,Democrat,I,LISA REMMER,Republican,C,73.65,5438034.69,22442.61,-37.0,-8.6
CA_12_2020,CA_12,2020,362950,NANCY PELOSI,Democrat,I,SHAHID BUTTAR,Democrat,C,55.27,22681809.86,1678374.54,-37.0,-3.1
CA_13_2010,CA_13,2010,164378,FORTNEY PETE STARK,Democrat,I,FOREST BAKER,Republican,,44.23,371118.55,,-22.0,6.8
CA_13_2012,CA_13,2012,288582,BARBARA LEE,Democrat,I,MARILYN M SINGLETON,Other,C,73.56,1148467.65,75448.47,-37.0,-1.1
CA_13_2014,CA_13,2014,190431,BARBARA LEE,Democrat,I,DAKIN SUNDEEN,Republican,C,76.96,1100730.18,4940.0,-37.0,5.7
CA_13_2016,CA_13,2016,322871,BARBARA LEE,Democrat,I,SUE CARO,Republican,C,81.57,1374381.11,4521.0,-37.0,1.1
CA_13_2018,CA_13,2018,294837,BARBARA LEE,Democrat,I,LAURA WELLS,Other,C,76.76,1781695.78,8195.44,-40.0,-8.6
CA_13_2020,CA_13,2020,362818,BARBARA LEE,Democrat,I,NIKKA PITERMAN,Republican,C,80.73,1810132.05,9943.82,-40.0,-3.1
CA_14_2010,CA_14,2010,218869,ANNA G ESHOO,Democrat,I,DAVE CHAPMAN,Republican,,41.26,1395749.44,,-21.0,6.8
CA_14_2012,CA_14,2012,258283,JACKIE SPEIER,Democrat,I,"DEBORAH ""DEBBIE"" BACIGALUPI",Republican,C,57.83,885671.51,32716.61,-23.0,-1.1
CA_14_2014,CA_14,2014,149146,JACKIE SPEIER,Democrat,I,ROBIN CHEW,Republican,C,53.39,841038.54,25019.95,-23.0,5.7
CA_14_2016,CA_14,2016,286447,JACKIE SPEIER,Democrat,I,ANGEL CARDENAS,Republican,C,61.73,609007.1,4140.06,-23.0,1.1
CA_14_2018,CA_14,2018,266823,JACKIE SPEIER,Democrat,I,CRISTINA OSMENA,Republican,,58.45,748371.32,,-27.0,-8.6
CA_14_2020,CA_14,2020,351005,JACKIE SPEIER,Democrat,I,RAN S PETEL,Republican,,58.57,920752.1,,-27.0,-3.1
CA_15_2010,CA_15,2010,186615,MICHAEL M HONDA,Democrat,I,SCOTT KIRKLAND,Republican,C,35.19,850364.24,66867.0,-15.0,6.8
CA_15_2012,CA_15,2012,231034,ERIC SWALWELL,Democrat,C,FORTNEY PETE STARK,Democrat,I,4.22,799576.22,1397139.03,-15.0,-1.1
CA_15_2014,CA_15,2014,142906,ERIC SWALWELL,Democrat,I,HUGH BUSSELL,Republican,C,39.61,1669313.51,24477.23,-16.0,5.7
CA_15_2016,CA_15,2016,269197,ERIC SWALWELL,Democrat,I,DANNY R TURNER,Republican,C,47.53,1370215.24,632.75,-16.0,1.1
CA_15_2018,CA_15,2018,243929,ERIC SWALWELL,Democrat,I,RUDY L PETERS JR,Republican,C,45.94,2462007.82,56807.88,-20.0,-8.6
CA_15_2020,CA_15,2020,342701,ERIC SWALWELL,Democrat,I,ALISON HAYDEN,Republican,C,41.81,4113000.86,8357.65,-20.0,-3.1
CA_16_2010,CA_16,2010,156058,ZOE LOFGREN,Democrat,I,DANIEL SAHAGUN,Republican,,43.53,790373.93,,-16.0,6.8
CA_16_2012,CA_16,2012,147450,JIM COSTA,Democrat,I,BRIAN DANIEL WHELAN,Republican,C,14.82,1299918.69,694543.98,-2.0,-1.1
CA_16_2014,CA_16,2014,91220,JIM COSTA,Democrat,I,JOHNNY TACHERRA,Republican,C,1.46,1116677.4,342204.12,-7.0,5.7
CA_16_2016,CA_16,2016,167956,JIM COSTA,Democrat,I,JOHNNY M TACHERRA,Republican,C,16.07,1760735.77,548941.25,-7.0,1.1
CA_16_2018,CA_16,2018,142959,JIM COSTA,Democrat,I,ELIZABETH HENG,Republican,C,15.09,2363583.43,1267197.95,-9.0,-8.6
CA_16_2020,CA_16,2020,216729,JIM COSTA,Democrat,I,KEVIN COOKINGHAM,Republican,C,18.76,1846494.42,270292.35,-9.0,-3.1
CA_17_2010,CA_17,2010,178139,SAM FARR,Democrat,I,JEFF TAYLOR,Republican,C,36.8,718568.64,176754.18,-19.0,6.8
CA_17_2012,CA_17,2012,216728,MICHAEL M HONDA,Democrat,I,EVELYN LI,Republican,C,47.09,1028810.23,64428.1,-18.0,-1.1
CA_17_2014,CA_17,2014,134408,MICHAEL M HONDA,Democrat,I,RO KHANNA,Democrat,C,3.51,3447979.27,4427100.78,-20.0,5.7
CA_17_2016,CA_17,2016,233192,RO KHANNA,Democrat,C,MICHAEL M HONDA,Democrat,I,22.02,3679115.6,2984634.37,-20.0,1.1
CA_17_2018,CA_17,2018,211162,RO KHANNA,Democrat,I,RON COHEN,Republican,C,50.69,1922134.46,3590.0,-25.0,-8.6
CA_17_2020,CA_17,2020,297336,RO KHANNA,Democrat,I,RITESH TANDON,Republican,C,42.69,2535202.22,178014.57,-25.0,-3.1
CA_18_2010,CA_18,2010,124569,DENNIS A CARDOZA,Democrat,I,MICHAEL CLARE BERRYHILL SR,Republican,C,16.97,1420229.82,929661.61,-4.0,6.8
CA_18_2012,CA_18,2012,301934,ANNA G ESHOO,Democrat,I,DAVE CHAPMAN,Republican,,40.98,1629523.88,,-18.0,-1.1
CA_18_2014,CA_18,2014,196386,ANNA G ESHOO,Democrat,I,RICHARD B FOX,Republican,C,35.51,1540092.76,41249.25,-18.0,5.7
CA_18_2016,CA_18,2016,323930,ANNA G ESHOO,Democrat,I,RICHARD B FOX,Republican,C,42.29,1315754.03,26381.26,-18.0,1.1
CA_18_2018,CA_18,2018,302238,ANNA G ESHOO,Democrat,I,CHRISTINE RUSSELL,Republican,,48.98,1361644.46,,-23.0,-8.6
CA_18_2020,CA_18,2020,344139,ANNA G ESHOO,Democrat,I,RISHI KUMAR,Democrat,C,26.34,2078651.76,698530.46,-23.0,-3.1
CA_19_2010,CA_19,2010,198902,JEFF DENHAM,Republican,O,LORAINE GOODWIN,Democrat,O,29.4,1210088.28,46862.0,9.0,6.8
CA_19_2012,CA_19,2012,221613,ZOE LOFGREN,Democrat,I,ROBERT MURRAY,Republican,C,46.47,626000.61,8379.0,-16.0,-1.1
CA_19_2014,CA_19,2014,127788,ZOE LOFGREN,Democrat,I,ROBERT MURRAY,Democrat,,34.42,682507.16,,-19.0,5.7
CA_19_2016,CA_19,2016,245863,ZOE LOFGREN,Democrat,I,G BURT LANCASTER,Republican,C,47.89,1157330.99,5500.0,-19.0,1.1
CA_19_2018,CA_19,2018,220319,ZOE LOFGREN,Democrat,I,JUSTIN JAMES AGUILERA,Republican,C,47.51,1872385.37,22256.57,-24.0,-8.6
CA_19_2020,CA_19,2020,313027,ZOE LOFGREN,Democrat,I,JUSTIN JAMES AGUILERA,Republican,C,43.36,1771845.87,11542.18,-24.0,-3.1
CA_1_2010,CA_1,2010,234592,MIKE THOMPSON,Democrat,I,LOREN HANKS,Republican,C,31.76,1901459.62,109276.65,-13.0,6.8
CA_1_2012,CA_1,2012,294213,DOUG LA MALFA,Republican,I,JIM REED,Democrat,C,14.77,775941.69,192924.1,10.0,-1.1
CA_1_2014,CA_1,2014,216372,DOUG LAMALFA,Republican,I,HEIDI HALL,Democrat,C,22.06,730253.27,233970.36,10.0,5.7
CA_1_2016,CA_1,2016,314036,DOUG LAMALFA,Republican,I,JIM REED,Democrat,C,18.11,808869.52,134916.57,10.0,1.1
CA_1_2018,CA_1,2018,291594,DOUG LA MALFA,Republican,I,AUDREY DENNEY,Democrat,C,9.77,1095659.91,1097092.46,11.0,-8.6
CA_1_2020,CA_1,2020,358263,DOUG LAMALFA,Republican,I,AUDREY DENNEY,Democrat,C,13.99,1179453.85,2475446.47,11.0,-3.1
CA_20_2010,CA_20,2010,89444,JIM COSTA,Democrat,I,ANDY VIDAK,Republican,C,3.41,2126986.04,894969.44,-5.0,6.8
