year,state,state_po,district,runoff,special,candidate,party,candidatevotes,totalvotes
2022,CALIFORNIA,CA,39,False,False,MARK TAKANO,DEMOCRAT,75896,131597
2022,CALIFORNIA,CA,40,False,False,YOUNG KIM,REPUBLICAN,161589,284311
2022,CALIFORNIA,CA,40,False,False,ASIF MAHMOOD,DEMOCRAT,122722,284311
2022,CALIFORNIA,CA,41,False,False,KEN CALVERT,REPUBLICAN,123869,236638
2022,CALIFORNIA,CA,41,False,False,WILL ROLLINS,DEMOCRAT,112769,236638
2022,CALIFORNIA,CA,42,False,False,JOHN BRISCOE,REPUBLICAN,45903,145120
2022,CALIFORNIA,CA,42,False,False,ROBERT GARCIA,DEMOCRAT,99217,145120
2022,CALIFORNIA,CA,43,False,False,OMAR NAVARRO,REPUBLICAN,27985,123447
2022,CALIFORNIA,CA,43,False,False,MAXINE WATERS,DEMOCRAT,95462,123447
2022,CALIFORNIA,CA,44,False,False,PAUL JONES,REPUBLICAN,38554,138714
2022,CALIFORNIA,CA,44,False,False,NANETTE DIAZ BARRAGÁN,DEMOCRAT,100160,138714
2022,CALIFORNIA,CA,45,False,False,MICHELLE STEEL,REPUBLICAN,113960,217426
2022,CALIFORNIA,CA,45,False,False,JAY F CHEN,DEMOCRAT,103466,217426
2022,CALIFORNIA,CA,46,False,False,CHRISTOPHER J GONZALES,REPUBLICAN,48257,126298
2022,CALIFORNIA,CA,46,False,False,J LUIS CORREA,DEMOCRAT,78041,126298
2022,CALIFORNIA,CA,47,False,False,SCOTT BAUGH,REPUBLICAN,128261,265635
2022,CALIFORNIA,CA,47,False,False,KATIE PORTER,DEMOCRAT,137374,265635
2022,CALIFORNIA,CA,48,False,False,DARRELL ISSA,REPUBLICAN,155171,257071
2022,CALIFORNIA,CA,48,False,False,STEPHEN HOULAHAN,DEMOCRAT,101900,257071
2022,CALIFORNIA,CA,49,False,False,BRIAN MARYOTT,REPUBLICAN,138194,291735
2022,CALIFORNIA,CA,49,False,False,MIKE LEVIN,DEMOCRAT,153541,291735
2022,CALIFORNIA,CA,50,False,False,COREY GUSTAFSON,REPUBLICAN,99819,268635
2022,CALIFORNIA,CA,50,False,False,SCOTT H PETERS,DEMOCRAT,168816,268635
2022,CALIFORNIA,CA,51,False,False,STAN CAPLAN,REPUBLICAN,88886,233072
2022,CALIFORNIA,CA,51,False,False,SARA JACOBS,DEMOCRAT,144186,233072
2022,CALIFORNIA,CA,52,False,False,TYLER GEFFENEY,REPUBLICAN,50330,151016
2022,CALIFORNIA,CA,52,False,False,JUAN VARGAS,DEMOCRAT,100686,151016
2022,COLORADO,CO,1,False,False,JENNIFER QUALTERI,REPUBLICAN,49530,282616
2022,COLORADO,CO,1,False,False,DIANA DEGETTE,DEMOCRAT,226929,282616
2022,COLORADO,CO,1,False,False,JOHN C KITTLESON,LIBERTARIAN,6157,282616
2022,COLORADO,CO,2,False,False,MARSHALL DAWSON,REPUBLICAN,97700,348839
2022,COLORADO,CO,2,False,False,JOE NEGUSE,DEMOCRAT,244107,348839
2022,COLORADO,CO,2,False,False,STEVE YURASH,COLORADO CENTER PARTY,2876,348839
2022,COLORADO,CO,2,False,False,GARY L NATION,AMERICAN CONSTITUTION PARTY,2188,348839
