race_id,district_id,year,total_votes,winner_name,winner_party,winner_CAND_ICI,runner_up_name,runner_up_party,runner_up_CAND_ICI,margin_of_victory,spending_winner,spending_runner_up,pvi,NHE,spending_ratio,adjusted_margin
NV_4_2014,NV_4,2014,130781,CRESENT HARDY,Republican,C,STEVEN A HORSFORD,Democrat,I,2.77,383493.9,1934821.85,-4.0,5.7,0.19820631031223881,1.07
NV_4_2016,NV_4,2016,265846,RUBEN KIHUEN,Democrat,C,CRESENT HARDY,Republican,I,4.01,2238399.73,1931341.23,-4.0,1.1,1.1589871821873756,1.11
NV_4_2018,NV_4,2018,234868,STEVEN A HORSFORD,Democrat,O,CRESENT HARDY,Republican,O,8.18,2255315.24,889839.7,-3.0,-8.6,2.534518565534894,-3.42
NV_4_2020,NV_4,2020,332469,STEVEN HORSFORD,Democrat,I,JIM MARCHANT,Republican,C,4.86,3048784.98,1550714.52,-3.0,-3.1,1.9660517398134636,-1.24
NY_11_2014,NY_11,2014,110999,MICHAEL G GRIMM,Republican,I,DOMENIC M RECCHIA JR,Democrat,C,12.29,2034806.78,2469658.52,2.0,5.7,0.8239223210502803,4.59
NY_11_2018,NY_11,2018,192173,MAX N ROSE,Democrat,C,DAN DONOVAN,Republican,I,6.44,4441148.2,2694356.32,3.0,-8.6,1.6483150973884555,0.84
NY_11_2020,NY_11,2020,301351,NICOLE MALLIOTAKIS,Republican,C,MAX N ROSE,Democrat,I,6.11,3483560.24,9537934.79,3.0,-3.1,0.36523213008882405,6.21
NY_18_2012,NY_18,2012,295436,SEAN PATRICK MALONEY,Democrat,I,NAN A S HAYWORTH,Republican,C,3.65,2246008.2,3317572.05,2.0,-1.1,0.6770035936370998,4.55
NY_18_2014,NY_18,2014,186715,SEAN PATRICK MALONEY,Democrat,I,NAN HAYWORTH,Republican,C,1.79,4161436.91,3386118.96,0.0,5.7,1.228969495507624,7.49
NY_18_2018,NY_18,2018,251690,SEAN PATRICK MALONEY,Democrat,I,JAMES O'DONNELL,Republican,C,10.94,4431885.61,281216.14,1.0,-8.6,15.759712831560806,3.34
NY_18_2020,NY_18,2020,358738,SEAN PATRICK MALONEY,Democrat,I,CHELE C FARLEY,Republican,C,11.79,1769856.47,1152738.15,1.0,-3.1,1.535349957837346,9.69
NY_19_2012,NY_19,2012,305882,CHRISTOPHER P GIBSON,Republican,I,JULIAN SCHREIBMAN,Democrat,C,5.29,2203688.97,1338058.41,0.0,-1.1,1.646930323467718,6.39
NY_19_2016,NY_19,2016,326588,JOHN J FASO,Republican,O,ZEPHYR TEACHOUT,Democrat,O,7.64,2922131.3,5031761.19,-1.0,1.1,0.5807372785909181,7.54
NY_19_2018,NY_19,2018,287986,ANTONIO DELGADO,Democrat,C,JOHN J FASO,Republican,I,5.21,9166151.0,3909694.97,2.0,-8.6,2.3444670416321505,-1.39
NY_19_2020,NY_19,2020,370433,ANTONIO DELGADO,Democrat,I,KYLE VAN DE WATER,Republican,C,10.97,3034333.02,121091.5,2.0,-3.1,25.058183439795528,9.87
NY_1_2012,NY_1,2012,294578,TIMOTHY H BISHOP,Democrat,I,RANDY ALTSCHULER,Republican,C,4.6,3031035.92,2293150.39,0.0,-1.1,1.321778080154612,3.5
NY_1_2014,NY_1,2014,176719,LEE M ZELDIN,Republican,C,TIMOTHY H BISHOP,Democrat,I,8.67,1814213.15,2988327.66,2.0,5.7,0.6070998084594244,0.97
NY_1_2018,NY_1,2018,270053,LEE M ZELDIN,Republican,I,PERRY GERSHON,Democrat,C,4.09,4834395.99,5075628.25,5.0,-8.6,0.9524724333386709,7.69
