state_po,district,candidatevotes,TTL_RECEIPTS,spending_per_vote
SC,5,725121,3690792.92,5.089899368519185
SC,6,1055140,13281534.69,12.58746203347423
SC,7,2792515,16848336.81,6.033391695299756
SD,0,4261933,22666192.02,5.318289147201516
TN,1,564009,8022980.08,14.224914992491255
TN,2,1038810,3074908.76,2.960029995860648
TN,3,999150,4916333.08,4.920515518190462
TN,4,520311,1301615.91,2.5016113632039296
TN,5,3540400,45299460.45,12.795011990170604
TN,6,1170378,4057828.84,3.46710963466504
TN,7,542466,14907040.559999999,27.48013803630089
TN,8,2313465,8065445.4,3.4863053471740444
TN,9,669590,7744410.84,11.565899789423378
TX,1,1642634,3137670.1799999997,1.9101456441300981
TX,2,1842296,32503750.38,17.64306624994029
TX,3,1627536,11298570.57,6.942132505824756
TX,4,2048072,3779238.36,1.8452663578233577
TX,5,1271790,5180001.28,4.073000479638934
TX,6,1045247,8437470.280000001,8.072226258482447
TX,7,1272803,8033056.62,6.311311821232351
TX,8,2024712,17739722.16,8.761602716830838
TX,9,327214,827383.04,2.5285685820288863
TX,10,755811,8244949.98,10.908745678483113
TX,11,453198,3100815.54,6.842076840586234
TX,12,1189895,5060482.0,4.252881136570874
TX,13,858708,10594866.479999999,12.338148101566539
TX,14,852596,2466735.18,2.8932051991799166
TX,15,1822668,26306725.380000003,14.433086760726585
TX,16,451488,3423613.8200000003,7.582956401942024
TX,17,1303254,2094952.8800000001,1.6074785728645375
TX,18,468804,5584034.84,11.91123548433887
TX,19,569043,4150366.9000000004,7.293590994002211
TX,20,337198,2925649.05,8.6763535074348
TX,21,4951215,5673566.5600000005,1.1458937977849883
TX,22,1929720,6105373.52,3.1638649752295667
TX,23,1878984,15701953.77,8.35661919952485
TX,24,1786950,8657349.52,4.844763155096673
TX,25,741080,1938323.0899999999,2.6155382549792194
TX,26,1855161,3455699.28,1.862748990518882
TX,27,1656216,2486603.12,1.501376100701841
TX,28,1655810,30977845.58,18.70857500558639
TX,29,402408,1914042.2,4.756471541321246
TX,30,3249234,14413412.35,4.4359416250106944
TX,31,1282295,1948012.59,1.5191610276886365
TX,32,1419992,12287223.56,8.653023087454015
TX,33,342090,5542475.49,16.20180505130229
TX,34,1209951,25158503.4,20.792993600567293
TX,35,2142816,4930455.22,2.30092328039365
TX,36,419230,2264584.96,5.401772201416883
TX,37,1428945,6747927.48,4.722314350797267
TX,38,2598690,19626903.209999997,7.552614282580838
UT,1,2131360,5010635.36,2.3509099166729226
UT,2,2334591,6481369.36,2.776233335946211
UT,3,1700280,15675813.049999999,9.219547986214035
UT,4,2032472,16476504.32,8.106632868743088
VA,1,1028226,11170084.84,10.863453015193159
VA,2,2672964,45392176.35,16.981963225093942
VA,3,623550,3153523.8899999997,5.057371325475102
VA,4,979912,3988734.81,4.070503075786397
